Number of points: 232050
SW:(40.700000 , -74.000000)
NE:(40.800000 , -73.930000) 

Partition with N = 75 and 20 consumer threads

Partition          0 : [   0,     0]
Partition   20000000 : [   0,     0]
Partition   30000000 : [   0,     0]
Partition   40000000 : [   0,     1]
Partition   10000000 : [   0,     0]
Partition   70000000 : [   0,     1]
Partition   60000000 : [   0,     3]
Partition   90000000 : [   0,    13]
Partition  100000000 : [   1,    23]
Partition   80000000 : [   0,     1]
Partition  290000000 : [   0,     0]
Partition  300000000 : [   0,     0]
Partition  310000000 : [   0,     0]
Partition  110000000 : [   1,    22]
Partition  330000000 : [   0,     0]
Partition  340000000 : [   0,     0]
Partition  350000000 : [   0,     0]
Partition  360000000 : [   0,     0]
Partition  370000000 : [   0,     0]
Partition  380000000 : [   0,     0]
Partition  140000000 : [   0,     0]
Partition  150000000 : [   0,     0]
Partition  170000000 : [   0,     1]
Partition  390000000 : [   0,     0]
Partition  400000000 : [   0,     0]
Partition  410000000 : [   0,     0]
Partition  430000000 : [   0,     0]
Partition  440000000 : [   0,     1]
Partition  450000000 : [   0,     1]
Partition  260000000 : [   0,     0]
Partition  270000000 : [   0,     0]
Partition  470000000 : [   0,     0]
Partition  220000000 : [   0,     0]
Partition  460000000 : [   0,     0]
Partition  480000000 : [   0,     0]
Partition  180000000 : [   0,     2]
Partition  550000000 : [   0,     0]
Partition  200000000 : [   0,     0]
Partition  560000000 : [   0,     0]
Partition  280000000 : [   0,     0]
Partition  590000000 : [   0,     0]
Partition  600000000 : [   0,     0]
Partition  130000000 : [   1,    16]
Partition  500000000 : [   0,     0]
Partition  630000000 : [   0,     1]
Partition  640000000 : [   0,     0]
Partition  650000000 : [   0,     0]
Partition  660000000 : [   0,     0]
Partition  670000000 : [   0,     0]
Partition  680000000 : [   0,     0]
Partition  690000000 : [   0,     0]
Partition  120000000 : [   1,    18]
Partition  530000000 : [   0,     0]
Partition  540000000 : [   0,     0]
Partition  320000000 : [   0,     0]
Partition  570000000 : [   0,     0]
Partition  420000000 : [   0,     0]
Partition  580000000 : [   0,     0]
Partition  230000000 : [   0,     0]
Partition  610000000 : [   0,     0]
Partition   31000000 : [   0,     0]
Partition   41000000 : [   0,     0]
Partition   51000000 : [   0,     3]
Partition  510000000 : [   0,     1]
Partition  740000000 : [   0,     0]
Partition   91000000 : [   0,     4]
Partition  700000000 : [   0,     0]
Partition   21000000 : [   0,     0]
Partition  121000000 : [   0,    11]
Partition  490000000 : [   0,     0]
Partition  141000000 : [   0,     5]
Partition  151000000 : [   0,     0]
Partition  161000000 : [   0,     0]
Partition   61000000 : [   0,     3]
Partition  181000000 : [   0,     1]
Partition  191000000 : [   0,     1]
Partition  131000000 : [   1,    39]
Partition  250000000 : [   0,     0]
Partition  221000000 : [   0,     0]
Partition  231000000 : [   0,     0]
Partition  241000000 : [   0,     0]
Partition  251000000 : [   0,     0]
Partition  261000000 : [   0,     0]
Partition  271000000 : [   0,     0]
Partition  160000000 : [   0,     0]
Partition  281000000 : [   0,     0]
Partition   50000000 : [   0,     2]
Partition  311000000 : [   0,     0]
Partition  321000000 : [   0,     0]
Partition  331000000 : [   0,     0]
Partition  341000000 : [   0,     0]
Partition  351000000 : [   0,     0]
Partition  361000000 : [   0,     0]
Partition  201000000 : [   0,     0]
Partition  730000000 : [   0,     0]
Partition  211000000 : [   0,     0]
Partition  710000000 : [   0,     0]
Partition  720000000 : [   0,     0]
Partition    1000000 : [   0,     0]
Partition  291000000 : [   0,     0]
Partition  301000000 : [   0,     0]
Partition   11000000 : [   0,     0]
Partition  520000000 : [   0,     1]
Partition  190000000 : [   0,     1]
Partition  471000000 : [   0,     0]
Partition  491000000 : [   0,     0]
Partition  381000000 : [   0,     0]
Partition  421000000 : [   0,     0]
Partition  391000000 : [   0,     0]
Partition  461000000 : [   0,     0]
Partition  401000000 : [   0,     0]
Partition  551000000 : [   0,     0]
Partition  451000000 : [   0,     1]
Partition  571000000 : [   0,     0]
Partition  581000000 : [   0,     0]
Partition  591000000 : [   0,     0]
Partition  601000000 : [   0,     0]
Partition  411000000 : [   0,     0]
Partition   81000000 : [   0,     2]
Partition  501000000 : [   0,     0]
Partition  171000000 : [   0,     0]
Partition  641000000 : [   0,     0]
Partition  651000000 : [   0,     0]
Partition  661000000 : [   0,     0]
Partition  681000000 : [   0,     0]
Partition  531000000 : [   0,     0]
Partition  701000000 : [   0,     0]
Partition  711000000 : [   0,     0]
Partition  721000000 : [   0,     0]
Partition  731000000 : [   0,     0]
Partition  741000000 : [   0,     0]
Partition    2000000 : [   0,     0]
Partition  611000000 : [   0,     0]
Partition  621000000 : [   0,     0]
Partition  511000000 : [   0,     0]
Partition  631000000 : [   0,     0]
Partition  620000000 : [   0,     1]
Partition  671000000 : [   0,     0]
Partition   71000000 : [   0,     1]
Partition  371000000 : [   0,     0]
Partition  481000000 : [   0,     0]
Partition  101000000 : [   1,    17]
Partition  691000000 : [   0,     0]
Partition  541000000 : [   0,     0]
Partition  122000000 : [   0,     7]
Partition   62000000 : [   0,     3]
Partition  152000000 : [   0,     0]
Partition  102000000 : [   1,     9]
Partition   22000000 : [   0,     0]
Partition  182000000 : [   0,     0]
Partition  192000000 : [   0,     0]
Partition  210000000 : [   0,     0]
Partition   42000000 : [   0,     0]
Partition  212000000 : [   0,     0]
Partition  132000000 : [   0,    11]
Partition   82000000 : [   0,     1]
Partition  252000000 : [   0,     0]
Partition  262000000 : [   0,     0]
Partition  272000000 : [   0,     0]
Partition  282000000 : [   0,     0]
Partition  561000000 : [   0,     0]
Partition  240000000 : [   0,     0]
Partition  312000000 : [   0,     0]
Partition  322000000 : [   0,     0]
Partition  332000000 : [   0,     0]
Partition  342000000 : [   0,     0]
Partition  352000000 : [   0,     0]
Partition  362000000 : [   0,     0]
Partition  372000000 : [   0,     0]
Partition  441000000 : [   0,     2]
Partition  392000000 : [   0,     0]
Partition  402000000 : [   0,     0]
Partition  412000000 : [   0,     0]
Partition  422000000 : [   0,     0]
Partition  432000000 : [   0,     1]
Partition  442000000 : [   0,     1]
Partition  172000000 : [   0,     0]
Partition  292000000 : [   0,     0]
Partition  112000000 : [   1,     8]
Partition  202000000 : [   0,     0]
Partition  302000000 : [   0,     0]
Partition  452000000 : [   0,     0]
Partition   32000000 : [   0,     0]
Partition  472000000 : [   0,     0]
Partition  532000000 : [   0,     0]
Partition   72000000 : [   0,     2]
Partition  552000000 : [   0,     0]
Partition  562000000 : [   0,     0]
Partition  572000000 : [   0,     0]
Partition  222000000 : [   0,     0]
Partition  592000000 : [   0,     0]
Partition  602000000 : [   0,     0]
Partition  612000000 : [   0,     0]
Partition  622000000 : [   0,     0]
Partition  632000000 : [   0,     0]
Partition  642000000 : [   0,     0]
Partition  521000000 : [   0,     0]
Partition  662000000 : [   0,     0]
Partition  512000000 : [   0,     0]
Partition  522000000 : [   0,     0]
Partition  692000000 : [   0,     0]
Partition  702000000 : [   0,     0]
Partition  712000000 : [   0,     0]
Partition  722000000 : [   0,     0]
Partition  732000000 : [   0,     0]
Partition  382000000 : [   0,     0]
Partition    3000000 : [   0,     1]
Partition   13000000 : [   0,     0]
Partition   23000000 : [   0,     0]
Partition   33000000 : [   0,     0]
Partition   43000000 : [   0,     1]
Partition   53000000 : [   0,     2]
Partition   63000000 : [   0,     0]
Partition  242000000 : [   0,     0]
Partition   73000000 : [   0,     0]
Partition   83000000 : [   0,     0]
Partition   93000000 : [   0,     0]
Partition  103000000 : [   0,     0]
Partition  113000000 : [   0,     0]
Partition  123000000 : [   0,     0]
Partition  133000000 : [   0,     1]
Partition  143000000 : [   0,     1]
Partition  492000000 : [   0,     0]
Partition  462000000 : [   0,     0]
Partition  173000000 : [   0,     0]
Partition  502000000 : [   0,     0]
Partition  431000000 : [   0,     1]
Partition  482000000 : [   0,     0]
Partition  223000000 : [   0,     0]
Partition  233000000 : [   0,     0]
Partition   12000000 : [   0,     0]
Partition  253000000 : [   0,     0]
Partition  263000000 : [   0,     3]
Partition  273000000 : [   0,     3]
Partition  283000000 : [   0,     0]
Partition  293000000 : [   0,     0]
Partition  303000000 : [   0,     0]
Partition  313000000 : [   0,     0]
Partition  323000000 : [   0,     0]
Partition   52000000 : [   0,     2]
Partition  343000000 : [   0,     0]
Partition  353000000 : [   0,     0]
Partition  363000000 : [   0,     0]
Partition  373000000 : [   0,     0]
Partition  383000000 : [   0,     0]
Partition  393000000 : [   0,     0]
Partition  403000000 : [   0,     0]
Partition  413000000 : [   0,     0]
Partition  423000000 : [   0,     0]
Partition  433000000 : [   0,     0]
Partition  213000000 : [   0,     0]
Partition  111000000 : [   1,    17]
Partition  672000000 : [   0,     0]
Partition  473000000 : [   0,     0]
Partition  483000000 : [   0,     0]
Partition  183000000 : [   0,     0]
Partition   92000000 : [   0,     3]
Partition  513000000 : [   0,     0]
Partition  523000000 : [   0,     0]
Partition  533000000 : [   0,     1]
Partition  543000000 : [   0,     0]
Partition  553000000 : [   0,     0]
Partition  563000000 : [   0,     0]
Partition  573000000 : [   0,     0]
Partition  583000000 : [   0,     0]
Partition  593000000 : [   0,     1]
Partition  603000000 : [   0,     0]
Partition  153000000 : [   0,     0]
Partition  453000000 : [   0,     1]
Partition  163000000 : [   0,     1]
Partition  652000000 : [   0,     0]
Partition  463000000 : [   0,     0]
Partition  493000000 : [   0,     0]
Partition  193000000 : [   0,     0]
Partition  683000000 : [   0,     0]
Partition  613000000 : [   0,     0]
Partition  643000000 : [   0,     0]
Partition  703000000 : [   0,     0]
Partition  663000000 : [   0,     0]
Partition  733000000 : [   0,     0]
Partition  743000000 : [   0,     0]
Partition  203000000 : [   0,     0]
Partition   14000000 : [   0,     0]
Partition   24000000 : [   0,     0]
Partition   34000000 : [   0,     0]
Partition   44000000 : [   0,     0]
Partition   54000000 : [   0,     0]
Partition   64000000 : [   0,     0]
Partition   74000000 : [   0,     0]
Partition   84000000 : [   0,     0]
Partition   94000000 : [   0,     0]
Partition  104000000 : [   0,     0]
Partition  114000000 : [   0,     0]
Partition  124000000 : [   0,     0]
Partition  723000000 : [   0,     0]
Partition  742000000 : [   0,     0]
Partition  682000000 : [   0,     0]
Partition  542000000 : [   0,     0]
Partition  653000000 : [   0,     0]
Partition    4000000 : [   0,     0]
Partition  232000000 : [   0,     0]
Partition  142000000 : [   0,     5]
Partition  673000000 : [   0,     0]
Partition  713000000 : [   0,     0]
Partition  443000000 : [   0,     0]
Partition  234000000 : [   0,     0]
Partition  204000000 : [   0,     0]
Partition  582000000 : [   0,     0]
Partition  174000000 : [   0,     0]
Partition  274000000 : [   0,     3]
Partition  134000000 : [   0,     0]
Partition  503000000 : [   0,     0]
Partition  144000000 : [   0,     0]
Partition  324000000 : [   0,     0]
Partition  334000000 : [   0,     1]
Partition  344000000 : [   0,     2]
Partition  354000000 : [   0,     1]
Partition  364000000 : [   0,     0]
Partition  184000000 : [   0,     0]
Partition  384000000 : [   0,     0]
Partition  394000000 : [   0,     0]
Partition  404000000 : [   0,     0]
Partition  414000000 : [   0,     0]
Partition  424000000 : [   0,     0]
Partition  434000000 : [   0,     0]
Partition  444000000 : [   0,     0]
Partition  454000000 : [   0,     1]
Partition  464000000 : [   0,     1]
Partition  474000000 : [   0,     0]
Partition  214000000 : [   0,     0]
Partition  244000000 : [   0,     0]
Partition  314000000 : [   0,     0]
Partition  333000000 : [   0,     0]
Partition  374000000 : [   0,     0]
Partition  194000000 : [   0,     0]
Partition  254000000 : [   0,     0]
Partition  243000000 : [   0,     0]
Partition  284000000 : [   0,     0]
Partition  164000000 : [   0,     0]
Partition  574000000 : [   0,     0]
Partition  584000000 : [   0,     0]
Partition  484000000 : [   0,     0]
Partition  604000000 : [   0,     0]
Partition  623000000 : [   0,     0]
Partition  554000000 : [   0,     0]
Partition  644000000 : [   0,     0]
Partition  693000000 : [   0,     0]
Partition  224000000 : [   0,     0]
Partition  494000000 : [   0,     1]
Partition  684000000 : [   0,     0]
Partition  694000000 : [   0,     0]
Partition  704000000 : [   0,     0]
Partition  714000000 : [   0,     0]
Partition  724000000 : [   0,     0]
Partition  734000000 : [   0,     0]
Partition  304000000 : [   0,     0]
Partition    5000000 : [   0,     3]
